<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.16	18:41:00	87812.37	87910.76	87803.26	87865.56	90	0	1260
2025.12.16	18:42:00	87860.9	87938.96	87840.81	87866.94	110	0	1260
2025.12.16	18:43:00	87866.72	87883.48	87795.53	87836.8	81	0	1260
2025.12.16	18:44:00	87841.57	87894.64	87820.53	87881.02	70	0	1260
2025.12.16	18:45:00	87880.77	87950.23	87875.46	87936.08	55	0	1260
2025.12.16	18:46:00	87936.66	87950.93	87818.4	87832.97	76	0	1260
2025.12.16	18:47:00	87835.01	87858.12	87793.49	87826.87	56	0	1260
2025.12.16	18:48:00	87826.6	87826.6	87776.68	87781.79	67	0	1260
2025.12.16	18:49:00	87780.08	87835.11	87769.5	87835.11	51	0	1260
2025.12.16	18:50:00	87837.51	87892.53	87824.15	87845.46	72	0	1260
2025.12.16	18:51:00	87847.84	87911.86	87847.84	87911.86	56	0	1260
2025.12.16	18:52:00	87916.91	88005.15	87902.63	87971.82	126	0	1260
2025.12.16	18:53:00	87970.81	87988.44	87936.85	87964.29	51	0	1260
2025.12.16	18:54:00	87965.78	87979.67	87799.3	87800.82	96	0	1260
2025.12.16	18:55:00	87802.83	87842.94	87752.69	87752.69	102	0	1260
2025.12.16	18:56:00	87753.16	87798.08	87735.16	87745.0	78	0	1260
2025.12.16	18:57:00	87750.76	87793.93	87683.79	87732.12	75	0	1260
2025.12.16	18:58:00	87733.97	87742.57	87704.92	87742.34	33	0	1260
2025.12.16	18:59:00	87738.15	87769.12	87711.78	87769.12	53	0	1260
2025.12.16	19:00:00	87772.72	87772.72	87718.93	87748.44	73	0	1260
2025.12.16	19:01:00	87753.55	87780.53	87709.5	87709.57	54	0	1260
2025.12.16	19:02:00	87708.96	87730.7	87601.41	87605.39	96	0	1260
2025.12.16	19:03:00	87613.79	87652.28	87591.25	87620.39	80	0	1260
2025.12.16	19:04:00	87623.77	87640.04	87509.69	87534.39	74	0	1260
2025.12.16	19:05:00	87537.7	87588.02	87501.1	87565.25	89	0	1260
2025.12.16	19:06:00	87564.07	87582.69	87479.67	87479.67	70	0	1260
2025.12.16	19:07:00	87480.16	87508.03	87444.26	87494.67	96	0	1260
2025.12.16	19:08:00	87496.32	87513.76	87458.63	87473.42	71	0	1260
2025.12.16	19:09:00	87475.25	87507.54	87460.28	87472.85	77	0	1260
2025.12.16	19:10:00	87471.82	87476.88	87406.19	87441.76	80	0	1260
2025.12.16	19:11:00	87444.43	87444.43	87401.46	87425.45	95	0	1260
2025.12.16	19:12:00	87429.18	87466.52	87352.85	87369.57	66	0	1260
2025.12.16	19:13:00	87361.28	87372.35	87326.31	87352.59	50	0	1260
2025.12.16	19:14:00	87352.1	87352.49	87307.83	87315.98	46	0	1260
