<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.09.12	1.10134	1.10870	1.09267	1.10560	67275	0	1
2019.09.13	1.10560	1.11094	1.10560	1.10697	48116	0	1
2019.09.15	1.10735	1.10863	1.10693	1.10830	5554	0	1
2019.09.16	1.10830	1.10843	1.09932	1.10030	47540	0	1
2019.09.17	1.10030	1.10756	1.09902	1.10737	48236	0	1
2019.09.18	1.10737	1.10746	1.10136	1.10292	48990	0	1
2019.09.19	1.10292	1.10734	1.10227	1.10445	50964	0	1
2019.09.20	1.10443	1.10675	1.09962	1.10187	44910	0	1
2019.09.22	1.10116	1.10198	1.10115	1.10186	3226	0	2
2019.09.23	1.10185	1.10253	1.09660	1.09939	47577	0	1
2019.09.24	1.09939	1.10239	1.09837	1.10135	48575	0	1
2019.09.25	1.10135	1.10168	1.09373	1.09513	49897	0	1
2019.09.26	1.09513	1.09673	1.09087	1.09221	45812	0	1
2019.09.27	1.09222	1.09586	1.09038	1.09411	43493	0	1
2019.09.29	1.09394	1.09461	1.09376	1.09422	2449	0	1
2019.09.30	1.09420	1.09476	1.08846	1.08991	40431	0	1
2019.10.01	1.08991	1.09427	1.08790	1.09339	51093	0	1
2019.10.02	1.09339	1.09635	1.09042	1.09604	45996	0	1
2019.10.03	1.09604	1.09992	1.09409	1.09743	54946	0	1
2019.10.04	1.09743	1.09983	1.09569	1.09772	46478	0	1
2019.10.06	1.09794	1.09839	1.09745	1.09833	2739	0	1
2019.10.07	1.09833	1.10006	1.09618	1.09715	38246	0	1
2019.10.08	1.09715	1.09959	1.09411	1.09598	50886	0	1
2019.10.09	1.09598	1.09901	1.09548	1.09842	40259	0	1
2019.10.10	1.09842	1.10338	1.09798	1.10106	54186	0	1
2019.10.11	1.10106	1.10627	1.10008	1.10360	59489	0	1
2019.10.13	1.10305	1.10382	1.10250	1.10282	4047	0	1
2019.10.14	1.10282	1.10427	1.10126	1.10259	35273	0	1
2019.10.15	1.10258	1.10460	1.09912	1.10344	51987	0	1
2019.10.16	1.10344	1.10854	1.10225	1.10738	55365	0	1
2019.10.17	1.10739	1.11398	1.10650	1.11246	53657	0	1
2019.10.18	1.11246	1.11702	1.11146	1.11689	38002	0	1
2019.10.20	1.11627	1.11637	1.11493	1.11558	5148	0	1
2019.10.21	1.11558	1.11793	1.11387	1.11515	33871	0	1
2019.10.22	1.11515	1.11568	1.11176	1.11288	37598	0	1
2019.10.23	1.11288	1.11402	1.11061	1.11320	30347	0	1
2019.10.24	1.11320	1.11626	1.10930	1.11034	41458	0	1
2019.10.25	1.11035	1.11228	1.10729	1.10794	26208	0	1
2019.10.27	1.10772	1.10843	1.10769	1.10821	2706	0	1
2019.10.28	1.10821	1.11065	1.10760	1.10976	26862	0	1
2019.10.29	1.10978	1.11184	1.10735	1.11089	31027	0	1
2019.10.30	1.11089	1.11624	1.10800	1.11622	44741	0	1
2019.10.31	1.11622	1.11756	1.11314	1.11547	42406	0	1
2019.11.01	1.11547	1.11718	1.11281	1.11648	33011	0	1
2019.11.03	1.11668	1.11696	1.11595	1.11601	2219	0	1
2019.11.04	1.11601	1.11753	1.11216	1.11296	31783	0	1
2019.11.05	1.11296	1.11401	1.10634	1.10679	40441	0	1
2019.11.06	1.10679	1.10927	1.10649	1.10678	31798	0	1
2019.11.07	1.10679	1.10915	1.10361	1.10475	46932	0	1
2019.11.08	1.10473	1.10553	1.10166	1.10189	30121	0	1
2019.11.10	1.10190	1.10237	1.10164	1.10177	2109	0	1
2019.11.11	1.10177	1.10430	1.10170	1.10343	23677	0	1
2019.11.12	1.10342	1.10385	1.10025	1.10090	32037	0	1
2019.11.13	1.10090	1.10202	1.09953	1.10064	34101	0	1
2019.11.14	1.10064	1.10273	1.09890	1.10250	32979	0	1
2019.11.15	1.10250	1.10567	1.10145	1.10515	25012	0	1
2019.11.17	1.10477	1.10568	1.10477	1.10556	2357	0	1
2019.11.18	1.10555	1.10899	1.10538	1.10690	28705	0	1
2019.11.19	1.10690	1.10838	1.10624	1.10786	27300	0	1
2019.11.20	1.10786	1.10813	1.10530	1.10756	33651	0	1
2019.11.21	1.10756	1.10969	1.10521	1.10625	31560	0	1
2019.11.22	1.10625	1.10875	1.10144	1.10182	30689	0	1
2019.11.24	1.10152	1.10237	1.10150	1.10228	2618	0	2
2019.11.25	1.10228	1.10320	1.10035	1.10089	28132	0	1
2019.11.26	1.10089	1.10255	1.10072	1.10177	28176	0	1
2019.11.27	1.10177	1.10190	1.09923	1.10066	30563	0	1
2019.11.28	1.10066	1.10178	1.10004	1.10102	19343	0	1
2019.11.29	1.10103	1.10282	1.09810	1.10152	26222	0	1
2019.12.01	1.10222	1.10265	1.10152	1.10194	2405	0	1
2019.12.02	1.10194	1.10910	1.10029	1.10734	31618	0	1
2019.12.03	1.10734	1.10934	1.10658	1.10816	32083	0	1
2019.12.04	1.10816	1.11161	1.10667	1.10823	35374	0	1
2019.12.05	1.10823	1.11079	1.10791	1.11030	27550	0	1
2019.12.06	1.11030	1.11097	1.10396	1.10595	26168	0	1
2019.12.08	1.10562	1.10604	1.10543	1.10563	2726	0	1
2019.12.09	1.10563	1.10779	1.10533	1.10642	21132	0	1
2019.12.10	1.10642	1.10976	1.10631	1.10917	28397	0	1
2019.12.11	1.10917	1.11447	1.10701	1.11378	33089	0	1
2019.12.12	1.11378	1.11993	1.11030	1.11697	52957	0	1
2019.12.13	1.11697	1.11860	1.11120	1.11173	52918	0	1
2019.12.15	1.11264	1.11309	1.11224	1.11255	3691	0	1
2019.12.16	1.11255	1.11580	1.11248	1.11371	31229	0	1
2019.12.17	1.11371	1.11745	1.11291	1.11471	33966	0	1
2019.12.18	1.11471	1.11473	1.11102	1.11166	31776	0	1
2019.12.19	1.11166	1.11442	1.11072	1.11197	34338	0	1
2019.12.20	1.11197	1.11236	1.10662	1.10751	27806	0	1
2019.12.22	1.10799	1.10813	1.10729	1.10762	3028	0	1
2019.12.23	1.10762	1.10958	1.10698	1.10909	29040	0	1
2019.12.24	1.10909	1.10934	1.10690	1.10851	19721	0	1
2019.12.26	1.10898	1.11088	1.10820	1.11010	19742	0	1
2019.12.27	1.11010	1.11882	1.10995	1.11760	33510	0	1
2019.12.29	1.11751	1.11879	1.11713	1.11876	3978	0	1
2019.12.30	1.11876	1.12206	1.11816	1.12034	35394	0	1
2019.12.31	1.12034	1.12392	1.11987	1.12171	30594	0	1
2020.01.02	1.12181	1.12243	1.11634	1.11754	50477	0	1
2020.01.03	1.11754	1.11797	1.11250	1.11558	38273	0	1
2020.01.05	1.11631	1.11682	1.11577	1.11635	4053	0	1
2020.01.06	1.11635	1.12054	1.11571	1.11897	31066	0	1
2020.01.07	1.11897	1.11971	1.11335	1.11585	40660	0	1
2020.01.08	1.11585	1.11631	1.11016	1.11132	46173	0	1
2020.01.09	1.11132	1.11203	1.10923	1.11070	31552	0	1
2020.01.10	1.11070	1.11291	1.10850	1.11212	28384	0	1
2020.01.12	1.11160	1.11209	1.11128	1.11187	1806	0	1
2020.01.13	1.11187	1.11469	1.11127	1.11383	26501	0	1
2020.01.14	1.11383	1.11444	1.11042	1.11295	31804	0	1
2020.01.15	1.11295	1.11633	1.11185	1.11548	29753	0	1
2020.01.16	1.11548	1.11726	1.11278	1.11375	29486	0	1
2020.01.17	1.11375	1.11425	1.10862	1.10893	26381	0	1
2020.01.19	1.10907	1.10985	1.10880	1.10929	2414	0	1
2020.01.20	1.10929	1.11024	1.10766	1.10923	18069	0	1
2020.01.21	1.10923	1.11180	1.10809	1.10826	29817	0	1
2020.01.22	1.10826	1.10994	1.10701	1.10872	30240	0	1
2020.01.23	1.10872	1.11087	1.10363	1.10527	37347	0	1
2020.01.24	1.10527	1.10617	1.10196	1.10255	30902	0	1
2020.01.26	1.10294	1.10346	1.10243	1.10320	6592	0	1
2020.01.27	1.10322	1.10375	1.10096	1.10191	30112	0	1
2020.01.28	1.10191	1.10277	1.09977	1.10226	28656	0	1
2020.01.29	1.10226	1.10227	1.09922	1.10129	28189	0	1
2020.01.30	1.10129	1.10393	1.10068	1.10319	34085	0	1
2020.01.31	1.10319	1.10951	1.10168	1.10943	36096	0	1
2020.02.02	1.10910	1.10927	1.10799	1.10815	4137	0	1
2020.02.03	1.10815	1.10876	1.10349	1.10607	33561	0	1
2020.02.04	1.10607	1.10642	1.10327	1.10432	32870	0	1
2020.02.05	1.10432	1.10478	1.09935	1.09963	32886	0	1
2020.02.06	1.09963	1.10138	1.09643	1.09815	29014	0	1
2020.02.07	1.09815	1.09849	1.09418	1.09430	37191	0	1
2020.02.09	1.09413	1.09529	1.09412	1.09526	2861	0	1
2020.02.10	1.09522	1.09574	1.09076	1.09100	27824	0	1
2020.02.11	1.09100	1.09247	1.08912	1.09130	30811	0	1
2020.02.12	1.09130	1.09255	1.08651	1.08725	32411	0	1
