<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.24	1753.470	1758.610	1752.310	1753.520	87509	0	0
2022.11.25	1753.470	1761.240	1746.050	1756.090	101493	0	0
2022.11.27	1753.120	1754.060	1749.880	1751.770	4090	0	100
2022.11.28	1751.820	1763.760	1739.630	1740.740	131113	0	0
2022.11.29	1740.860	1759.050	1740.240	1751.210	152470	0	40
2022.11.30	1751.210	1778.710	1744.910	1778.280	180922	0	40
2022.12.01	1778.300	1804.520	1771.980	1799.840	185725	0	40
2022.12.02	1799.880	1803.100	1778.490	1797.983	161101	0	40
2022.12.04	1795.030	1800.880	1793.870	1799.980	6279	0	100
2022.12.05	1799.980	1810.010	1765.850	1770.330	156009	0	40
2022.12.06	1770.240	1780.860	1767.270	1769.920	140676	0	40
2022.12.07	1769.920	1790.520	1768.740	1785.400	152772	0	40
2022.12.08	1785.450	1794.830	1781.450	1790.320	127795	0	40
2022.12.09	1790.320	1806.140	1788.910	1797.493	130076	0	80
2022.12.11	1796.130	1796.690	1792.550	1793.630	5588	0	100
2022.12.12	1793.640	1795.530	1777.630	1781.850	116648	0	40
2022.12.13	1781.950	1824.520	1781.110	1811.230	169238	0	0
2022.12.14	1811.210	1814.220	1795.640	1806.330	169871	0	0
2022.12.15	1806.380	1806.520	1773.750	1777.510	175089	0	20
2022.12.16	1777.510	1794.270	1774.250	1793.100	142079	0	0
2022.12.18	1792.250	1795.100	1790.900	1793.260	5832	0	100
2022.12.19	1793.250	1798.730	1783.790	1786.290	125494	0	40
2022.12.20	1786.280	1821.120	1784.750	1818.140	189378	0	20
2022.12.21	1818.140	1823.840	1811.850	1818.660	132082	0	30
2022.12.22	1818.660	1820.430	1784.670	1791.900	137051	0	10
2022.12.23	1791.910	1803.220	1791.180	1798.506	108633	0	30
2022.12.26	1800.600	1804.000	1799.890	1801.820	4408	0	100
2022.12.27	1801.820	1833.630	1800.620	1811.020	106622	0	20
2022.12.28	1810.980	1814.620	1797.040	1806.420	103172	0	10
2022.12.29	1806.420	1820.240	1804.380	1816.170	101868	0	30
2022.12.30	1816.170	1826.040	1813.390	1823.547	113101	0	30
2023.01.02	1827.530	1832.180	1823.520	1830.660	5619	0	100
2023.01.03	1830.660	1849.990	1826.830	1838.670	154167	0	10
2023.01.04	1838.670	1865.120	1838.220	1855.120	161530	0	10
2023.01.05	1855.120	1859.030	1825.110	1834.330	144017	0	0
2023.01.06	1834.360	1869.870	1832.390	1866.026	133418	0	30
2023.01.08	1866.300	1870.830	1866.280	1868.610	6573	0	80
2023.01.09	1868.650	1881.580	1867.720	1870.660	134809	0	30
2023.01.10	1870.640	1880.770	1870.010	1878.020	132166	0	40
