<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.13	47358.84	48191.78	46181.44	47195.40	15694665	0	0
2021.02.14	47198.59	49608.00	47032.66	48701.22	14632511	0	0
2021.02.15	48701.22	48761.24	45654.30	47622.31	68551	0	534
2021.02.16	47622.31	50577.33	47558.80	49011.64	97615	0	1101
2021.02.17	49013.94	52509.44	48901.04	52196.75	65127	0	0
2021.02.18	52195.75	52285.66	50853.00	51466.12	71924	0	952
2021.02.19	51466.12	56288.36	50727.96	55864.67	2552568	0	0
2021.02.20	55870.00	57533.99	54029.50	55837.43	18700595	0	0
2021.02.21	55815.76	58348.73	55420.88	56144.80	15918823	0	0
2021.02.22	56144.80	57206.16	47655.49	53404.54	150974	0	138
2021.02.23	53405.04	53900.54	44878.07	48436.24	210975	0	1245
2021.02.24	48436.25	51334.28	47987.96	50449.00	204550	0	1830
2021.02.25	50449.00	52029.44	45896.05	46675.28	224692	0	262
2021.02.26	46706.02	48345.60	44074.88	46251.87	4034600	0	0
2021.02.27	46257.57	48338.18	44965.59	46168.13	21634253	0	0
2021.02.28	46160.28	46648.35	43006.41	46234.42	21712957	0	0
2021.03.01	46234.03	50184.76	45611.34	49356.29	270584	0	4569
2021.03.02	49359.53	49778.67	47017.93	48492.46	168348	0	20
2021.03.03	48492.46	52570.01	48443.51	50843.59	147751	0	4857
2021.03.04	50843.58	51732.72	46467.12	46776.14	139291	0	1224
2021.03.05	46780.66	49426.00	46269.68	48745.61	2300039	0	0
2021.03.06	48742.83	49175.13	47005.49	48866.71	15805832	0	0
2021.03.07	48869.42	51631.95	48869.42	51423.52	14053746	0	0
2021.03.08	51425.02	52487.93	49265.68	51956.96	83325	0	351
2021.03.09	51968.21	55688.16	51950.00	55455.81	85917	0	0
2021.03.10	55455.81	57318.16	52969.62	55547.34	79905	0	5380
2021.03.11	55547.34	58086.31	54224.97	57312.64	86528	0	5467
2021.03.12	57312.64	57694.24	54984.01	57208.48	2266678	0	0
