<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.08	12:00:00	1889.160	1891.030	1876.300	1891.030	13323	0	50
2021.01.08	13:00:00	1890.780	1892.750	1857.990	1865.020	14104	0	50
2021.01.08	14:00:00	1864.970	1866.550	1849.850	1862.860	15013	0	50
2021.01.08	15:00:00	1862.860	1865.620	1852.750	1855.590	12165	0	50
2021.01.08	16:00:00	1855.590	1857.210	1839.370	1844.040	14536	0	50
2021.01.08	17:00:00	1843.960	1845.770	1828.270	1838.150	14066	0	50
2021.01.08	18:00:00	1838.150	1847.450	1837.480	1846.530	7273	0	50
2021.01.08	19:00:00	1846.530	1849.310	1844.300	1847.800	6332	0	50
2021.01.08	20:00:00	1847.800	1849.420	1845.420	1847.850	2125	0	0
2021.01.08	21:00:00	1847.805	1849.633	1845.465	1849.426	1189	0	0
2021.01.10	00:00:00	1855.094	1855.593	1841.609	1844.766	4912	0	0
2021.01.10	22:00:00	1854.740	1855.590	1841.450	1844.720	4086	0	50
2021.01.10	23:00:00	1844.720	1849.450	1841.410	1841.430	4010	0	50
2021.01.11	00:00:00	1841.410	1841.620	1817.000	1828.800	8584	0	50
2021.01.11	01:00:00	1828.800	1838.380	1826.450	1835.490	4974	0	50
2021.01.11	02:00:00	1835.490	1835.740	1828.520	1830.810	3990	0	50
2021.01.11	03:00:00	1830.680	1834.350	1827.140	1834.030	3504	0	50
2021.01.11	04:00:00	1834.130	1842.100	1832.930	1840.590	4326	0	50
2021.01.11	05:00:00	1840.590	1849.110	1838.940	1846.560	5251	0	50
2021.01.11	06:00:00	1846.560	1850.210	1843.060	1846.120	6031	0	50
2021.01.11	07:00:00	1846.130	1855.330	1846.110	1849.220	6913	0	50
2021.01.11	08:00:00	1849.210	1852.570	1846.610	1848.580	4819	0	50
2021.01.11	09:00:00	1848.470	1852.100	1846.920	1851.970	4323	0	50
2021.01.11	10:00:00	1852.000	1852.430	1848.980	1849.470	3335	0	50
2021.01.11	11:00:00	1849.420	1850.540	1841.340	1842.710	5375	0	50
2021.01.11	12:00:00	1842.710	1842.960	1831.920	1834.470	8024	0	50
2021.01.11	13:00:00	1834.470	1842.930	1829.010	1842.250	12110	0	50
2021.01.11	14:00:00	1842.250	1850.490	1840.660	1848.950	9370	0	50
2021.01.11	15:00:00	1848.950	1850.740	1844.560	1849.060	6744	0	50
2021.01.11	16:00:00	1849.030	1849.980	1846.840	1848.700	3458	0	50
2021.01.11	17:00:00	1848.700	1851.690	1845.920	1847.040	3611	0	50
2021.01.11	18:00:00	1847.090	1849.070	1846.620	1846.830	3301	0	50
2021.01.11	19:00:00	1847.030	1847.480	1844.690	1845.200	3792	0	50
2021.01.11	20:00:00	1845.150	1846.431	1843.550	1845.149	1055	0	0
2021.01.11	21:00:00	1845.199	1845.919	1843.387	1843.468	1768	0	0
2021.01.11	22:00:00	1847.510	1848.520	1845.600	1847.220	1632	0	50
2021.01.11	23:00:00	1847.190	1848.180	1843.770	1845.010	2470	0	50
2021.01.12	00:00:00	1845.000	1847.080	1841.270	1845.910	5543	0	50
2021.01.12	01:00:00	1845.940	1849.170	1845.200	1847.390	3718	0	50
2021.01.12	02:00:00	1847.420	1852.010	1847.250	1849.820	2405	0	50
2021.01.12	03:00:00	1849.820	1851.660	1848.730	1850.720	1750	0	50
2021.01.12	04:00:00	1850.700	1858.250	1849.490	1858.110	4310	0	50
2021.01.12	05:00:00	1858.150	1860.610	1855.310	1860.060	3709	0	50
2021.01.12	06:00:00	1860.070	1861.760	1857.780	1859.480	4131	0	50
2021.01.12	07:00:00	1859.470	1861.770	1853.770	1855.720	5124	0	50
2021.01.12	08:00:00	1855.720	1863.410	1855.170	1862.730	4441	0	50
2021.01.12	09:00:00	1862.780	1863.800	1859.310	1859.890	3121	0	50
2021.01.12	10:00:00	1859.890	1862.720	1859.500	1860.140	3087	0	50
2021.01.12	11:00:00	1860.140	1861.540	1857.180	1859.660	4646	0	50
2021.01.12	12:00:00	1859.660	1860.820	1842.760	1844.370	10085	0	50
2021.01.12	13:00:00	1844.310	1848.250	1836.700	1841.480	11236	0	50
2021.01.12	14:00:00	1841.480	1846.630	1838.450	1841.750	8054	0	50
2021.01.12	15:00:00	1841.740	1846.710	1841.000	1843.460	5255	0	50
2021.01.12	16:00:00	1843.460	1843.520	1837.610	1839.520	4637	0	50
2021.01.12	17:00:00	1839.520	1849.890	1839.430	1847.300	6101	0	50
2021.01.12	18:00:00	1847.300	1857.260	1846.970	1854.200	5074	0	50
2021.01.12	19:00:00	1854.200	1856.540	1852.310	1855.680	4013	0	50
2021.01.12	20:00:00	1855.870	1856.670	1854.150	1855.753	1609	0	0
2021.01.12	21:00:00	1855.799	1856.671	1854.184	1854.703	1752	0	0
2021.01.12	22:00:00	1855.040	1858.860	1853.890	1858.850	1714	0	50
2021.01.12	23:00:00	1858.750	1860.050	1856.410	1856.930	2636	0	50
2021.01.13	00:00:00	1856.930	1862.940	1854.610	1862.140	4736	0	50
2021.01.13	01:00:00	1862.090	1862.460	1857.310	1859.880	2564	0	50
2021.01.13	02:00:00	1859.880	1861.770	1858.630	1859.320	2113	0	50
2021.01.13	03:00:00	1859.290	1861.140	1858.820	1859.710	1634	0	50
2021.01.13	04:00:00	1859.710	1860.580	1857.250	1858.400	2506	0	50
2021.01.13	05:00:00	1858.440	1861.960	1857.180	1859.340	3663	0	50
2021.01.13	06:00:00	1859.340	1862.690	1857.500	1857.500	3766	0	50
2021.01.13	07:00:00	1857.500	1858.110	1854.340	1857.170	5320	0	50
2021.01.13	08:00:00	1857.170	1857.480	1849.290	1855.330	4680	0	50
2021.01.13	09:00:00	1855.240	1857.100	1852.210	1854.360	3664	0	50
2021.01.13	10:00:00	1854.360	1856.380	1852.410	1852.500	3067	0	50
2021.01.13	11:00:00	1852.520	1855.790	1851.760	1854.710	4501	0	50
2021.01.13	12:00:00	1854.710	1859.200	1849.610	1857.940	7632	0	50
2021.01.13	13:00:00	1857.990	1861.190	1851.910	1858.540	9316	0	50
2021.01.13	14:00:00	1858.490	1860.370	1856.650	1858.020	7224	0	50
2021.01.13	15:00:00	1858.020	1859.820	1856.560	1857.400	3335	0	50
